TIPO,DATA,NUMNT,SERIE,CHAVE,CODIGO,DESCRICAO,QTDE,PRECO_UNIT,TOTAL
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7898143455459,"SELANTE PU BRANCO 70G DTOOLS","3.000","6.760","20.270"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7896257582153,"HYDRO NOVOPISO FO VERDE 3,6L","2.000","53.670","107.330"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891595003070,"PINCEL ROMA 313 25MM = 1"" AMARELO","12.000","2.260","27.160"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7896380140312,"ROLO ESPUMA LISO CINZA 15CM C/CABO ATLAS","5.000","7.220","36.100"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7897488053535,"PRUMO AÇO 300G DTOOLS","2.000","18.170","36.350"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891435967289,"DISJUNTOR DIN BRANCO 3X50A TDJ3 CURVA C TRAMO","2.000","34.630","69.260"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7898143452625,"ARCO SERRA FIXO PRO P/LAMINA AÇO 12"" DTOOLS","2.000","23.330","46.660"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7896380140299,"ROLO ESPUMA LISO CINZA 9CM C/CABO ATLAS","5.000","4.170","20.830"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891435926842,"LIZ MÓDULO INTER SIMPL 10A 250V TRAMO","5.000","3.590","17.970"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7898143434973,"CHAVE PHILIPS EMBORRACHADA 1/4X5"" DTOOLS","3.000","7.410","22.220"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7898550251514,"SIFÃO TUBO EXT UNIV SIMPLES 1,5M BR BLUKIT","5.000","10.540","52.720"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7896380103133,"PINCEL ATLAS 396 60MM = 2.1/2"" LARANJA","12.000","6.600","79.190"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891494000576,"SPRAY COLORGIN METALLIK DOURADO BRI 350ML 57","2.000","31.490","62.970"
NFCe Cupom Saida,2025-04-08 00:00:00,000000001,001,43250000000000019112651010000000011267324307,7898143454339,"COLA SANCAS E RODAPÉS 400G DTOOLS","-1.000","23.000","23.000"
NFCe Cupom Saida,2025-04-08 00:00:00,000000001,001,43250000000000019112651010000000011267300006,7898143452564,"COLA COLAGENS E MONTAGENS 400G BRANCO DTOOLS","-1.000","23.000","23.000"
NFCe Cupom Saida,2025-04-08 00:00:00,000000001,001,43250000000000019112651010000000011267324307,7898143452564,"COLA COLAGENS E MONTAGENS 400G BRANCO DTOOLS","-2.000","23.000","46.000"
NFCe Cupom Saida,2025-04-09 00:00:00,000000001,001,43250000000000019112651010000000011289653979,7891323075201,"CORANTE XADREZ AZUL 50ML","-1.000","10.000","10.000"
NFCe Cupom Saida,2025-04-09 00:00:00,000000001,001,43250000000000019112651010000000011289653979,7891323075195,"CORANTE XADREZ AMARELO 50ML","-1.000","10.000","10.000"
NFCe Cupom Saida,2025-04-09 00:00:00,000000001,001,43250000000000019112651010000000011289653979,7891323075225,"CORANTE XADREZ LARANJA 50ML","-1.000","10.000","10.000"
NFCe Cupom Saida,2025-04-09 00:00:00,000000001,001,43250000000000019112651010000000011289653979,7896748707041,"CORANTE SALISIL VERMELHO 34ML","-1.000","10.000","10.000"
NFCe Cupom Saida,2025-04-09 00:00:00,000000001,001,43250000000000019112651010000000011289653979,7896748707157,"CORANTE SALISIL VERDE ÁGUA 34ML","-1.000","10.000","10.000"
NFCe Cupom Saida,2025-04-09 00:00:00,000000001,001,43250000000000019112651010000000011289706627,7897321128574,"ADITIVO PLAST P/CONCRE/ARGAM 1L ALVENARIT VEDACIT","-1.000","19.000","19.000"
